
> frontend@0.9.83 dev:frontend
> next dev

▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.7:3000
✓ Ready in 1377ms
○ Compiling proxy ...

○ Compiling / ...
 GET /api/ai/pins?limit=500 403 in 73ms (next.js: 25ms, application-code: 48ms)
 GET /api/ai/layers 403 in 77ms (next.js: 33ms, application-code: 44ms)
 GET /api/mesh/gate/list 200 in 4.8s (next.js: 40ms, application-code: 4.8s)
 GET /api/ai/timemachine/config 403 in 4.7s (next.js: 13ms, application-code: 4.7s)
 GET /api/ai/timemachine/snapshots?limit=100 403 in 4.7s (next.js: 33ms, application-code: 4.7s)
 GET /api/ai/timemachine/hourly-index 403 in 4.7s (next.js: 12ms, application-code: 4.7s)
 GET /api/tools/shodan/status 403 in 4.8s (next.js: 32ms, application-code: 4.8s)
 GET /api/settings/timemachine 403 in 4.7s (next.js: 6ms, application-code: 4.7s)
 GET /api/sar/aois 200 in 220ms (next.js: 3ms, application-code: 217ms)
 GET /api/ai/agent-actions 403 in 229ms (next.js: 8ms, application-code: 221ms)
 GET /api/ai/pins/geojson 403 in 275ms (next.js: 19ms, application-code: 256ms)
 GET /api/live-data/fast?initial=1 200 in 306ms (next.js: 14ms, application-code: 293ms)
 GET /api/ai/pins/geojson 403 in 214ms (next.js: 28ms, application-code: 186ms)
 GET /api/sar/aois 200 in 282ms (next.js: 51ms, application-code: 231ms)
 GET /api/ai/agent-actions 403 in 288ms (next.js: 59ms, application-code: 229ms)
 GET /api/live-data/slow 200 in 347ms (next.js: 9ms, application-code: 338ms)
 GET /api/ai/agent-actions 403 in 33ms (next.js: 5ms, application-code: 28ms)
 GET /api/ai/agent-actions 403 in 89ms (next.js: 29ms, application-code: 60ms)
 GET /api/ai/agent-actions 403 in 22ms (next.js: 6ms, application-code: 16ms)
 GET /api/ai/agent-actions 403 in 19ms (next.js: 4ms, application-code: 16ms)
 GET /api/ai/agent-actions 403 in 27ms (next.js: 13ms, application-code: 14ms)
 GET /api/ai/agent-actions 403 in 32ms (next.js: 18ms, application-code: 14ms)
 GET / 200 in 107ms (next.js: 5ms, proxy.ts: 7ms, application-code: 95ms)
 GET /api/mesh/infonet/status 200 in 234ms (next.js: 4ms, application-code: 230ms)
 GET /api/ai/agent-actions 403 in 237ms (next.js: 11ms, application-code: 227ms)
 GET /api/ai/agent-actions 403 in 24ms (next.js: 12ms, application-code: 12ms)
 GET /api/ai/agent-actions 403 in 38ms (next.js: 20ms, application-code: 18ms)
 GET /api/ai/agent-actions 403 in 12ms (next.js: 2ms, application-code: 10ms)
 GET /api/ai/agent-actions 403 in 25ms (next.js: 14ms, application-code: 11ms)
 GET /api/ai/agent-actions 403 in 26ms (next.js: 12ms, application-code: 13ms)
 GET /api/ai/agent-actions 403 in 27ms (next.js: 14ms, application-code: 13ms)
 GET /api/ai/pins/geojson 403 in 24ms (next.js: 5ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 23ms (next.js: 3ms, application-code: 19ms)
 GET /api/settings/wormhole 200 in 36ms (next.js: 16ms, application-code: 21ms)
 GET /api/wormhole/status 200 in 198ms (next.js: 24ms, application-code: 174ms)
 GET /api/ai/agent-actions 403 in 175ms (next.js: 11ms, application-code: 164ms)
 GET /api/ai/agent-actions 403 in 20ms (next.js: 4ms, application-code: 16ms)
 GET /api/ai/agent-actions 403 in 25ms (next.js: 12ms, application-code: 12ms)
 GET /api/ai/agent-actions 403 in 13ms (next.js: 3ms, application-code: 10ms)
 GET /api/ai/agent-actions 403 in 29ms (next.js: 13ms, application-code: 16ms)
 GET /api/ai/agent-actions 403 in 27ms (next.js: 13ms, application-code: 14ms)
 GET /api/ai/agent-actions 403 in 23ms (next.js: 13ms, application-code: 11ms)
 GET / 200 in 85ms (next.js: 6ms, proxy.ts: 6ms, application-code: 73ms)
 GET /api/health 200 in 7.0s (next.js: 4ms, application-code: 7.0s)
 GET /api/mesh/infonet/status 200 in 7.0s (next.js: 5ms, application-code: 7.0s)
 GET /api/ai/pins?limit=500 403 in 1062ms (next.js: 3ms, application-code: 1059ms)
 GET /api/ai/layers 403 in 1085ms (next.js: 13ms, application-code: 1072ms)
 GET /api/ai/agent-actions 403 in 7.1s (next.js: 22ms, application-code: 7.1s)
 GET /api/ai/pins/geojson 403 in 87ms (next.js: 15ms, application-code: 72ms)
 GET /api/ai/agent-actions 403 in 17ms (next.js: 4ms, application-code: 13ms)
 GET /api/ai/agent-actions 403 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/ai/agent-actions 403 in 19ms (next.js: 4ms, application-code: 15ms)
 GET /api/ai/agent-actions 403 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/ai/agent-actions 403 in 16ms (next.js: 3ms, application-code: 13ms)
 GET /api/ai/agent-actions 403 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /api/ai/agent-actions 403 in 16ms (next.js: 2ms, application-code: 14ms)
 GET /api/ai/agent-actions 403 in 21ms (next.js: 4ms, application-code: 17ms)
 GET /api/ai/agent-actions 403 in 22ms (next.js: 11ms, application-code: 11ms)
 GET /api/ai/agent-actions 403 in 33ms (next.js: 18ms, application-code: 15ms)
 GET /api/settings/wormhole 200 in 25ms (next.js: 5ms, application-code: 20ms)
 GET /api/wormhole/status 200 in 206ms (next.js: 13ms, application-code: 193ms)
 GET /api/ai/agent-actions 403 in 193ms (next.js: 9ms, application-code: 184ms)
 GET /api/ai/agent-actions 403 in 41ms (next.js: 21ms, application-code: 20ms)
 GET /api/ai/agent-actions 403 in 30ms (next.js: 4ms, application-code: 26ms)
 GET /api/ai/agent-actions 403 in 46ms (next.js: 14ms, application-code: 32ms)
 GET / 200 in 197ms (next.js: 8ms, proxy.ts: 8ms, application-code: 181ms)
 GET /api/mesh/infonet/status 200 in 728ms (next.js: 5ms, application-code: 723ms)
 GET /api/ai/agent-actions 403 in 740ms (next.js: 10ms, application-code: 729ms)
 GET /api/ai/agent-actions 403 in 36ms (next.js: 17ms, application-code: 19ms)
 GET /api/ai/agent-actions 403 in 138ms (next.js: 3ms, application-code: 135ms)
 GET /api/ai/agent-actions 403 in 44ms (next.js: 12ms, application-code: 32ms)
 GET /api/ai/agent-actions 403 in 25ms (next.js: 14ms, application-code: 11ms)
 GET /api/ai/agent-actions 403 in 29ms (next.js: 12ms, application-code: 17ms)
 GET /api/ai/agent-actions 403 in 55ms (next.js: 3ms, application-code: 51ms)
 GET /api/ai/pins/geojson 403 in 40ms (next.js: 13ms, application-code: 27ms)
 GET /api/ai/agent-actions 403 in 43ms (next.js: 4ms, application-code: 39ms)
 GET /api/ai/agent-actions 403 in 42ms (next.js: 15ms, application-code: 27ms)
 GET /api/ai/agent-actions 403 in 58ms (next.js: 15ms, application-code: 44ms)
 GET /api/ai/agent-actions 403 in 87ms (next.js: 12ms, application-code: 75ms)
 GET /api/ai/agent-actions 403 in 1000ms (next.js: 3ms, application-code: 997ms)
 GET /api/ai/agent-actions 403 in 146ms (next.js: 17ms, application-code: 129ms)
 GET /api/ai/agent-actions 403 in 86ms (next.js: 3ms, application-code: 83ms)
 GET / 200 in 124ms (next.js: 6ms, proxy.ts: 6ms, application-code: 112ms)
 GET /api/settings/wormhole 200 in 1783ms (next.js: 16ms, application-code: 1767ms)
 GET /api/ai/agent-actions 403 in 1889ms (next.js: 4ms, application-code: 1885ms)
 GET /api/wormhole/status 200 in 10.2s (next.js: 3ms, application-code: 10.2s)
 GET /api/health 200 in 9.2s (next.js: 3ms, application-code: 9.2s)
 GET /api/mesh/infonet/status 200 in 9.3s (next.js: 5ms, application-code: 9.3s)
 GET /api/ai/layers 403 in 3.6s (next.js: 3ms, application-code: 3.6s)
 GET /api/health 200 in 3.6s (next.js: 14ms, application-code: 3.6s)
 GET /api/ai/agent-actions 403 in 8.9s (next.js: 16ms, application-code: 8.9s)
 GET /api/ai/pins?limit=500 403 in 841ms (next.js: 18ms, application-code: 823ms)
 GET /api/ai/timemachine/config 403 in 483ms (next.js: 12ms, application-code: 471ms)
 GET /api/settings/timemachine 403 in 555ms (next.js: 4ms, application-code: 551ms)
 GET /api/ai/pins/geojson 403 in 189ms (next.js: 3ms, application-code: 186ms)
 GET /api/ai/agent-actions 403 in 464ms (next.js: 8ms, application-code: 456ms)
 GET /api/ai/agent-actions 403 in 78ms (next.js: 13ms, application-code: 65ms)
